Author,Birth Year,Death Year,Display Name
"Seneca, Lucius Annaeus",,65.0,Lucius Annaeus Seneca
"Shakespeare, William",1564.0,1616.0,William Shakespeare
"Sidgwick, Henry",1838.0,1900.0,Henry Sidgwick
"Smith, Adam",1723.0,1790.0,Adam Smith
Sophocles,-496.0,-406.0,Sophocles
"Spinoza, Benedictus de",1632.0,1677.0,Benedictus de Spinoza
"Spurgeon, Caroline F. E. (Caroline Frances Eleanor)",1869.0,1942.0,Caroline Frances Eleanor Spurgeon
"Stoughton, John",1807.0,1897.0,John Stoughton
"Strauss, David Friedrich",1808.0,1874.0,David Friedrich Strauss
"Swedenborg, Emanuel",1688.0,1772.0,Emanuel Swedenborg
"Taft, William H. (William Howard)",1857.0,1930.0,William Howard Taft
"Taine, Hippolyte",1828.0,1893.0,Hippolyte Taine
Theophrastus,-371.0,-287.0,Theophrastus
"Thoreau, Henry David",1817.0,1862.0,Henry David Thoreau
"Tocqueville, Alexis de",1805.0,1859.0,Alexis de Tocqueville
"Toland, John",1670.0,1722.0,John Toland
"Tolstoy, Leo, graf",1828.0,1910.0,Leo Tolstoy
Turing,1912.0,1952.0,Alan Turing
"Twain, Mark",1835.0,1910.0,Mark Twain
"Tylor, Edward B. (Edward Burnett)",1832.0,1917.0,Edward Burnett Tylor
"Tyndall, John",1820.0,1893.0,John Tyndall
"Venn, John",1834.0,1923.0,John Venn
Virgil,-70.0,-19.0,Virgil
Voltaire,1694.0,1778.0,Voltaire
"Wesley, John",1703.0,1791.0,John Wesley
"Whewell, William",1794.0,1866.0,William Whewell
"Whitefield, George",1714.0,1770.0,George Whitefield
"Whitehead, Alfred North",1861.0,1947.0,Alfred North Whitehead
"Whitman, Walt",1819.0,1892.0,Walt Whitman
"Wilde, Oscar",1854.0,1900.0,Oscar Wilde
Wittgenstein,1889.0,1951.0,Ludwig Wittgenstein
"Wundt, Wilhelm Max",1832.0,1920.0,Wilhelm Max Wundt
Xenophon,-431.0,-355.0,Xenophon
Godel,1906.0,1978.0,Kurt Gödel
