Author,Birth Year,Death Year
Cherágh Ali,1844.0,1895.0
"Chesterfield, Philip Dormer Stanhope, Earl of",1694.0,1773.0
"Cheyne, T. K. (Thomas Kelly)",1841.0,1915.0
"Chidley, Howard J. (Howard James)",1878.0,1966.0
"Chiniquy, Charles Paschal Telesphore",1809.0,1899.0
"Chirol, Valentine, Sir",1852.0,1929.0
"Chrétien, de Troyes, active 12th century",,
"Churchill, Winston",1871.0,1947.0
"Cicero, Marcus Tullius",-106.0,-43.0
"Clapperton, Jane Hume",1832.0,1914.0
"Clarkson, Thomas",1760.0,1846.0
"Clausewitz, Carl von",1780.0,1831.0
"Cleather, Alice Leighton",,
"Cleland, John",1709.0,1789.0
"Clodd, Edward",1840.0,1930.0
"Clontz, J. (Jerry)",,
"Coates, James, Ph.D., F.A.S.",,
"Cobbe, Frances Power",1822.0,1904.0
"Cobbett, William",1763.0,1835.0
"Cocker, B. F. (Benjamin Franklin)",1821.0,1883.0
"Codman, John",1782.0,1847.0
"Coffey, P. (Peter)",1876.0,1943.0
"Coffman, C. J. (Casper James)",1885.0,
"Cole, Lawrence Thomas",1869.0,
"Coleridge, Samuel Taylor",1772.0,1834.0
"Collingwood, Stuart Dodgson",1870.0,1937.0
"Comegys, B. B. (Benjamin Bartis)",1819.0,1900.0
"Conant, Levi L. (Levi Leonard)",1857.0,1916.0
Confucius,-551.0,-479.0
"Conklin, Mary Greer",,
"Conkling, Margaret C. (Margaret Cockburn)",1814.0,1890.0
"Conway, Moncure Daniel",1832.0,1907.0
"Coombs, Charles Ira",1914.0,1994.0
"Coppens, Charles",1835.0,1920.0
"Costelloe, Laurence",,
"Cowan, James Galloway",,
"Cowles, Henry",1803.0,1881.0
"Cowley, Abraham",1618.0,1667.0
"Craigie, William A. (William Alexander), Sir",1867.0,1957.0
"Crile, George Washington",1864.0,1943.0
"Croce, Benedetto",1866.0,1952.0
"Croft, Delmer Eugene",1864.0,1925.0
"Crooke, William",1848.0,1923.0
"Crowe, Catherine",1790.0,1876.0
"Cruikshank, George",1792.0,1878.0
"Culpeper, Nicholas",1616.0,1654.0
"Culpin, Millais",1874.0,1952.0
"Cumont, Franz",1868.0,1947.0
"Curie, Marie",1867.0,1934.0
"Curwood, James Oliver",1878.0,1927.0
"Cutbush, James",1788.0,1823.0
"D'Urfey, Thomas",1653.0,1723.0
"Dabney, Robert Lewis",1820.0,1898.0
"Dacier, André",1651.0,1722.0
"Dallinger, W. H. (William Henry)",1842.0,1909.0
"Dallmann, William",1862.0,1952.0
"Daly, George Thomas",1872.0,1956.0
Dante Alighieri,1265.0,1321.0
"Darwin, Charles",1809.0,1882.0
"Dasgupta, Surendranath",1885.0,1952.0
"Dau, W. H. T. (William Herman Theodore)",1864.0,1944.0
"Daubney, William Heaford",,
"Daunou, P. C. F. (Pierre Claude François)",1761.0,1840.0
"Davenport, Reuben Briggs",,1932.0
"Davids, Thaddeus",,1894.0
"Davidson, Thomas",1840.0,1900.0
"Deane, David J.",,
"Della Casa, Giovanni",1503.0,1556.0
"Dendy, Walter Cooper",1794.0,1871.0
"Denney, James",1856.0,1917.0
"Descartes, René",1596.0,1650.0
"Dewey, John",1859.0,1952.0
"Dibble, Roy F. (Roy Floyd)",1887.0,1929.0
"Dickens, Charles",1812.0,1870.0
"Dickson, Walter G.",,
"Dietzgen, Joseph",1828.0,1888.0
Diogenes Laertius,,
"Dionysius, of Alexandria, Saint",,265.0
